,textDisplay,authorDisplayName,authorChannelUrl,likeCount,spam
27,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Амир Гафуров,http://www.youtube.com/channel/UC3XloLGdM1J1LtYc36Z-N5w,0,1
28,Eu sou apaixonados nesses tenis americanos,ABAC,http://www.youtube.com/channel/UCY29Y_FTpvRA5ARpn4sKFiQ,0,1
29,shap qoyilar<br>Mr. Beast fans will kiss me on the chest,Aslamboi vs igrok,http://www.youtube.com/channel/UCis4hLK_n6WJqBGe3xg9pGA,1,1
30,Сочувствую Speed,ƝξϜϜ𑀡Χ,http://www.youtube.com/channel/UCahOfE_gMLvdjzZeMHUqeoQ,0,1
31,Y este doblaje😓,franco mendoza,http://www.youtube.com/channel/UCWrHfn9O0tmVDe0ZyjWM3JQ,0,0
32,Mysteries I bought one of your chocolate bars,Linda Hood,http://www.youtube.com/channel/UCkQzYxm8dsE0LztzYM73Eqw,0,1
33,Your in fall guys,Ava games and more,http://www.youtube.com/channel/UCToR9_mzJpSBy5NxF9FpHjQ,0,0
34,you beat pewdiepie by 2 million,Генерал Гавс,http://www.youtube.com/channel/UCfDlqbVzQAtcpBfH19m4OwQ,0,0
35,i really hope to be in one of your videos Jimmy,Guille R,http://www.youtube.com/channel/UC2Z3uf2E0R5DEUk0SALgKEg,0,1
36,Yo Jimmy you know how you built squid games irl? Well can you do the same thing but instead of squid games it&#39;s BLUE LOCK,Ir0nIc,http://www.youtube.com/channel/UCiKk5iOl8NiT04p5wlaprng,0,1
37,George,TECHNOBLADE Never Dies Camman18,http://www.youtube.com/channel/UC_rcjgo5HNPeZJWZgUl4y2w,0,0
38,Porque el doblaje aqui es diferente al del otro canal? XD,Fabrizzio 1305,http://www.youtube.com/channel/UCiorRoOIJVWxcMTWbASpTnA,0,0
39,Привет местер бистрер я уз бедный симьи мне 9 мама неможт купить мойю мечты пк можш помоч,༺пандик༻,http://www.youtube.com/channel/UC9z_V7CP5LuZg7a56mUWGJg,0,1
40,“They’re youtubers they don’t need a private yet.” There’s just something off about this sentence… 😂,missael suazo,http://www.youtube.com/channel/UCxr6A-Nxz-Ok9k_p_i9BzZw,0,1
41,Mrbeast I need to tell you that Roman reigns want you and KSI to face to face in WWE championship,Ricardo Felipe,http://www.youtube.com/channel/UCY2c1EjGUtpcN7aM--3ZU5w,0,1
42,Mrbeast jealous,JaiRiyoCK YT,http://www.youtube.com/channel/UCGY6Ey8vu-QQhL8A30_MUuA,2,1
43,Hep amerikalılara yardım ediyon hiç türklere yardım edmiyon,Emrullahyunus Edehan,http://www.youtube.com/channel/UCULhj2Nt5XgvggXl1Ko2mTg,1,1
44,I was shocked when I saw speed participating,A PKXD,http://www.youtube.com/channel/UCaJ_qDqwUS7u9wxXeB2Bh-A,0,1
45,Translator pls : hola soy juan Pablo y soy de México y nunca eh podido ver otros países ni cuando nací u por eso veo tus videos además de ser muy humilde me encanta que agas esos retos Ojalá conocerte un día soy de MEXICO De un pueblo llamado salvatierra pueblo mágico,Juanchito Pablo,http://www.youtube.com/channel/UCHH6pS0wflClrZctp-hIeSw,0,0
46,amazing,AR-Technical,http://www.youtube.com/channel/UCR9ahR8YyBswuGHlCaj8Yvw,0,1
47,Damn I wish he come to nyc I need a chance!,Karlon Harkless,http://www.youtube.com/channel/UCNAhGM4h5jhhlnPLX4cTxhA,0,1
48,Seriously Mr beast you are the best 👍😄,floppa,http://www.youtube.com/channel/UCmnvs67bo1rPX-DygxOgfZA,0,1
49,Noooooo george is my best gamer and its lose;(,damos 113,http://www.youtube.com/channel/UCEJTcOJDA_z_vu5rc6shSUA,1,0
50,"Is Mister Best, what do you think to take off the hat?",yruchi roof,http://www.youtube.com/channel/UCy5nsJp8VsCCjCpguvTmBUw,0,0
51,Can I be an agent for your company in Yemen and sell your chocolate,قناة يتيم الحياة Orphan Life Channel,http://www.youtube.com/channel/UCMH11ZKHZRXJvsjuZw-yScg,0,1
52,"I love how you and ThE bOiS always make me smile, and you are just so amazing! Keep doing what you do!",Summer Coyle,http://www.youtube.com/channel/UCoaMpPSeyAE762A6ZaJgTUw,2,1
53,Knk Türkçe biliyon,Ömer Kong,http://www.youtube.com/channel/UChkbf7LrDhDiqlF3WOjh-Ow,0,1
54,duvido o mrbeast comprar o jogo blox fruits desafio inesperado por todos,draybey,http://www.youtube.com/channel/UC-D9yqg6C3_nl8l7S9PN3SQ,0,1
55,❤❤❤❤🎉🎉,Ronald arana 😎😏 life,http://www.youtube.com/channel/UCpGsIzlLCwOP3Li0O11hR_g,0,1
56,Cosesion 🇨🇱 😁,ANUBis.,http://www.youtube.com/channel/UCKsKU4tda4GF8qP2uipjzMw,0,1
57,I  want to participate,Sarah Rodrigues fernandes,http://www.youtube.com/channel/UCswlDKxNRqqHE3FMnkejEwA,0,1
58,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=0m26s"">0:26</a>",sonicoficial54,http://www.youtube.com/channel/UChq7yYIWQADOxKVxknZP7GA,1,1
59,Turkish dubbing???😢😢😢,Mustafa Sahin,http://www.youtube.com/channel/UC6Ot_KEJ43qY59biCZv3mCg,1,0
60,If i do a iphone pls!,Jaela Sweet,http://www.youtube.com/channel/UCOk4_QKuihOVxHOwWgvGkew,1,1
61,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=0m23s"">0:23</a>",sonicoficial54,http://www.youtube.com/channel/UChq7yYIWQADOxKVxknZP7GA,0,1
62,Привет из России MrBeast 👋,FROST_GOP,http://www.youtube.com/channel/UC0U3hs1-Zy8gUI5AYPNeW6Q,0,0
63,Amazing project bro RESPECT 🙏🏻,Mert Aslan,http://www.youtube.com/channel/UCjwfSsd6CEy78asd_YkcoEw,1,0
64,Hi ive really wanted to win something soon I SUBSCRIBED AND LIKED!,Jaela Sweet,http://www.youtube.com/channel/UCOk4_QKuihOVxHOwWgvGkew,1,1
65,Beas yo yase que etas en chile yo soide chile tequero peguntar algo queasi aca,Vicente Hidalgo,http://www.youtube.com/channel/UCG4fHe0UrdKQWF9dCyugHgg,0,1
66,واو,I'm,http://www.youtube.com/channel/UCOTyH5ZERAY_akVkEPMYTwQ,0,1
67,Your the best!!!!!!!!!,Infameez Trubo,http://www.youtube.com/channel/UCGBpcjxoTEQNaSeYqn1pY3Q,0,0
68,Llevame a uno,Astin Fabian,http://www.youtube.com/channel/UCOTui3eGawWqC4QXIHAhHuA,0,1
69,TR290006701000000052900951<br>Help mi,Abdulkadir Güleç,http://www.youtube.com/channel/UCAvC166jBwMXelKOgFrzaMA,0,1
70,"God , I haven&#39;t seen any better content in my life...! You&#39;re the best in the world simply!",Балика Анастасія,http://www.youtube.com/channel/UCj6d7gyfh6VcdhLdsoqBJCQ,1,1
71,i dont no hao to send to commets,Jaden & Kaden Gaming,http://www.youtube.com/channel/UCLbZcMePp36mkfynq6HyJMQ,0,1
72,Retire me Mr. beast ❤️,Jesse Essej,http://www.youtube.com/channel/UClPVvZYsGvd7AkWYU-cRLvA,0,1
73,i bot your chocolate bar today i hav a  vid on other channel,Jaden & Kaden Gaming,http://www.youtube.com/channel/UCLbZcMePp36mkfynq6HyJMQ,0,0
74,Speeddddd😢,HACK,http://www.youtube.com/channel/UCegsG-3PAga7HzKqSUFJ5dw,0,1
75,Love the videos keep up the great work,Jack Dev,http://www.youtube.com/channel/UC8yIe--GBdD__aJ6vpBWVsg,1,1
76,Solo haces cosas para los amigos 😢,DANIEL FRANCO,http://www.youtube.com/channel/UCRAUZxB5MHzzQkxCahVfzGw,0,1
77,Wow😍,Yura Quotes,http://www.youtube.com/channel/UCi80gztMhwHn7oq0N20CW8A,0,1
78,Epico,Robin Lobos,http://www.youtube.com/channel/UC9INovH5kZKX62g4OZQNyzA,0,1
79,Jimmy can you post song,Ljubica Glusac Lukic,http://www.youtube.com/channel/UCFK9eJi_sxFYYj14qoHq0wg,0,1
80,Russian gays?,Frize,http://www.youtube.com/channel/UCW7iLFY61iZIf5gJe7fnHUA,0,0
81,Sangat luar biasaaaaaa,DAR BUKAN,http://www.youtube.com/channel/UCbN7Q31F-Wjkypckapz7lOg,0,1
82,Mrbeast is ni chile finally arrived,Adrian,http://www.youtube.com/channel/UChibAJfehm6INXouY6nfEOw,0,1
83,Soy el único comentario en español?,Pau_Gamer,http://www.youtube.com/channel/UCF33qXAbawvMlwm4Jx54Cag,0,0
84,พากย์ไทยเสียงคนพากย์เบสิคมาก,MyNameK.,http://www.youtube.com/channel/UCh6lnW1oNbJ7ZTPU0vfUC8Q,0,1
85,Gen yuo to a challenge Bought everything but ten plis,Emrullah Yakut,http://www.youtube.com/channel/UCYPAgnQHjgyedDBzzW8-WtA,0,1
86,Where&#39;d u get  the black dog,Harami Larka,http://www.youtube.com/channel/UCHWK1WZx5D8ka3P320_WxUA,0,1
87,даа чувак ты умеешь снимать контент всегда смотрю все класс,🎥 movie 🍿 live,http://www.youtube.com/channel/UCkUXqX_CWYAVsLxg8I-98sA,0,1
88,Beast250,hinda,http://www.youtube.com/channel/UCki-xLvj6051YbxITZQENLA,0,1
89,Indonesia,Stickman Gameplay 2022,http://www.youtube.com/channel/UC6azT8AHWtZBRzgfwoRP3jA,0,1
90,Hãy mở bản âm thanh tiếng việt như trước đây đi beast!!!,Khánh Phan,http://www.youtube.com/channel/UCczKdiBh-DMLALImEh1ugqQ,0,0
91,Türkce dublej plis,OSMAN BEY,http://www.youtube.com/channel/UCdTz2pvosW-uyVD2IxtNlEw,1,1
92,почему тут по Русски?,forestic-cat,http://www.youtube.com/channel/UCq7sUiK9fNFRHC-pEd0gDTQ,0,0
93,5555สปีดมาด้วย,04 จักรภัทร พุทธศัย,http://www.youtube.com/channel/UC0_edYp6BbiPf4rkgTO7erQ,0,1
94,Hey,MR BEA__ST 00,http://www.youtube.com/channel/UC3XBVxPT3cTxZs63L95aiFQ,0,1
95,"Wow,, somone noticed my comment😁😁",Yh28,http://www.youtube.com/channel/UCrX9sRtZ8IlnXLXQu0SWGbw,0,1
96,Hey,MR BEA__ST 00,http://www.youtube.com/channel/UC3XBVxPT3cTxZs63L95aiFQ,1,1
97,Je Pons best mixeur ytyober de monde,Mohamed Boug,http://www.youtube.com/channel/UChWFGQwkMAYucZM7dAQnZTQ,0,1
98,Help me bro,ntv. vlogs,http://www.youtube.com/channel/UCunxycOq4OJHR1Oudlbrjog,0,1
99,Hey bro you create a music okey?,Bay İlker,http://www.youtube.com/channel/UCuw9VcOCLBiqk_TP-h_yTcQ,1,1
100,ههههههههههه سبيد مضحك,layan Osama,http://www.youtube.com/channel/UCNYnjCgO59S68uiNjc8AFIA,0,1
101,Jogo Mauro,Denis Claucio,http://www.youtube.com/channel/UCNGfgBR3hUKzUCTekHhEKOg,0,1
102,Holaaaaa,ELpanawhiteBRO,http://www.youtube.com/channel/UCAXrTLI5k-vlk70XRY1441A,0,1
103,suppor,পাগলামিৱ কাৱখানা,http://www.youtube.com/channel/UCj4uq0OPgLU_xJmcQxUhH9A,0,1
104,I have also subscribed,Maymar BoXing Champ's,http://www.youtube.com/channel/UCA5oWhRIIBnY8WZgmuc_KgQ,0,1
105,Mr.beast  esta chile,THE MAXIM 5683,http://www.youtube.com/channel/UCI_Fzhl5srTTjf9l3QbjZ2g,0,1
106,อยากเล่นบ้างจังคับ,Pom Pam,http://www.youtube.com/channel/UCxfsA2mNBkjzLQJGvEnRPxQ,1,1
107,please buy all your plants vs zombies 2 toys i beg you Jimmy bro,eleven oyunda,http://www.youtube.com/channel/UC71gNccPkW5euTt5gGStJhQ,0,1
108,Y así fue como alguien ganó el avión que NO SE COMO SE LLAMA y mrbeast viajo a CHILE 🇨🇱🇨🇱🇨🇱🇨🇱,necesito nombre gamer Pal yt,http://www.youtube.com/channel/UCLxjVX0dFioqAx8-MQYkvvg,0,1
109,Can you please bring the dubbing in Turkish I love you so much and I want you to see it,Ahmet Özkip,http://www.youtube.com/channel/UC0dGGBNKFrP5w0xHTRxgWfA,0,1
110,Give me money,Usamabutt Butt,http://www.youtube.com/channel/UC-K4y0DvEP2Qcst8kyKtaog,0,1
111,"Mr. Beast, I want to get married, can you provide me with financial assistance of $3,000? I am located in Turkey",Ray Ryoja,http://www.youtube.com/channel/UCI5xP01WGMMOF6H_Zo_089Q,0,1
112,Good,Usamabutt Butt,http://www.youtube.com/channel/UC-K4y0DvEP2Qcst8kyKtaog,0,0
113,مستر بيس فوزني,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
114,Ты на русском говоришь?,borzyy,http://www.youtube.com/channel/UC9eQUbARpqP3Eb5t8pCg42Q,0,0
115,Dolaars,MAYYAD_BG,http://www.youtube.com/channel/UCG5RpqFineSj5iaNcPXO9zA,0,1
116,I was SOOO angry when jimmy and Lazar both said “neeko”,Will Hallam,http://www.youtube.com/channel/UCpTzDqAub_RKwDr8ut_ah_Q,1,1
117,Lol,Dead gamer,http://www.youtube.com/channel/UCdKiwQW7BFCGYHoTQcviI2A,0,0
118,Sahilll🎉,Čôôł šãhîł,http://www.youtube.com/channel/UCxfHLWpadkwQJFHzyLqS__Q,0,1
119,Pls if i win give the box too,Sobia Farooq,http://www.youtube.com/channel/UC7wQwr_EdnWtllaQMQf8xZQ,1,1
120,Your the best YouTuber ever can I have ten thousand pound pls I subbed since you started your channel tell lazerbeam I love him,sprouttrace,http://www.youtube.com/channel/UCQdqdrceCGHuF_0lYbzUgDA,0,1
121,Việt Nam ❤❤❤,nhựt you túp,http://www.youtube.com/channel/UC8V0Mlj_WqHXavbX0MqxdRA,0,0
122,❤❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
123,I&#39;m a follower from Indonesia which is very poor but I&#39;m always happy to see this yt,Iyang ilham,http://www.youtube.com/channel/UCbOVztrjA-1c6siBpSdYI2Q,0,1
124,Sad To See Speed getting Eliminated this fast... 🥲,Ender Cat,http://www.youtube.com/channel/UCpTK3iF52K0rbIt8emA0Yeg,0,1
125,❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
126,Спасибо MrBeast за хороший контент на русском языке!,PROSTOY JO,http://www.youtube.com/channel/UCZiBcrNGWfwXDf19s7-__sQ,0,0
127,❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
128,❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
129,❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
130,❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
131,❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
132,Hi i from indonesia,Ayu Wardi,http://www.youtube.com/channel/UCTNTHGxFvjediaV7ZW82T2w,0,1
133,❤,メفزاعهメ,http://www.youtube.com/channel/UCQw0b7oMJcNCndm8dWfWfoA,0,1
134,❤️😊Mrbeast you are the best making videos,MAXYT,http://www.youtube.com/channel/UCD9dfmNlYy6_gHzMRmEH9rg,0,1
135,it sure was sad seeing george losing the jet,bruh pencil,http://www.youtube.com/channel/UCil1loOh6E2ex4PcyAGk7Xg,1,1
136,mmrbeast you are in chile ❤️😊😊😊😊❤️❤️❤️,MAXYT,http://www.youtube.com/channel/UCD9dfmNlYy6_gHzMRmEH9rg,0,1
137,Mr Beast seni Türkiye&#39;den izliyorum videolarına bayılıyorum tüm kanallarına da aboneyim hatta sitendeki imzalı tişörtlerden aldım videosu da bi o kadar komikti seni seviyorum &lt;3,Trendy_Cafe,http://www.youtube.com/channel/UCnGziRoHOJAOWzGH4S3J2Fg,0,1
138,Mr Beast seni Türkiye&#39;den izliyorum videolarına bayılıyorum tüm kanallarına da aboneyim hatta sitendeki imzalı tişörtlerden aldım videosu da bi o kadar komikti seni seviyorum &lt;3,Trendy_Cafe,http://www.youtube.com/channel/UCnGziRoHOJAOWzGH4S3J2Fg,0,1
139,Que bueno que ahora está en chile orgulloso de ser chileno latinoaméricano 🧐🤑,Alexis javier Gonzalez,http://www.youtube.com/channel/UCDPQRKPKZkb9dWk7mNjscaQ,0,0
140,Because your kinda the most famous youtuber in the world,Titanus Void Earth Ghidorah,http://www.youtube.com/channel/UCDzgPDj9yobPYMBqEsLb7cQ,0,0
141,Mr Beast seni Türkiye&#39;den izliyorum videolarına bayılıyorum tüm kanallarına da aboneyim hatta sitendeki imzalı tişörtlerden aldım videosu da bi o kadar komikti seni seviyorum &lt;3,Trendy_Cafe,http://www.youtube.com/channel/UCnGziRoHOJAOWzGH4S3J2Fg,0,1
142,Puedes ir a peru,Cecilia Macedo Yahuarcani,http://www.youtube.com/channel/UCZFHKcwIpuAujCMTJAYUOoA,0,1
143,Will you join the military? I&#39;m curious as to how quick you would get to general rank or master chief in the navy,Titanus Void Earth Ghidorah,http://www.youtube.com/channel/UCDzgPDj9yobPYMBqEsLb7cQ,0,1
144,تحيه من اليمن يا بطل,نصر الله هادي,http://www.youtube.com/channel/UClx6DJWUNGEllg5zGQcR6cA,0,0
145,"Hello , MrBeast! I from Russia, you best!",Maga,http://www.youtube.com/channel/UC0UmXDl8vE4ONVa4YqVjhqg,1,1
146,seeing speed lose made me very happy,Dylan Briggs,http://www.youtube.com/channel/UCmsSlWrKlTqXRuR8_6Kp_tA,0,1
147,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=5m49s"">5:49</a> its worse than an iphone 4 in quailty",Akhilesh Sattanathan,http://www.youtube.com/channel/UCrcfe4-f4wUAYAWxhH35ITw,1,1
148,Give me my cookie i subbed,tricky the memer (official),http://www.youtube.com/channel/UCoU0PR04ITDpB7XGEnNPeXQ,0,1
149,he literally made 120k in just 2 weeks wow,Akhilesh Sattanathan,http://www.youtube.com/channel/UCrcfe4-f4wUAYAWxhH35ITw,0,1
150,Wish I could get in one of these games lol,Corey Doster,http://www.youtube.com/channel/UC2l1hEYR1HUVrCn7HL5xzPA,0,1
151,дай денег,trizzz-,http://www.youtube.com/channel/UC8PI8UekZIbU8Ss3VqhLx2Q,0,1
152,i subscribed and notifications pls can i have play button,Darice de Palm,http://www.youtube.com/channel/UC9xahn1hYAE9HdcjkxkF6JA,0,1
153,สนุกมากเลยครับ,Toto Syharlard,http://www.youtube.com/channel/UCI-mrQpe6SRnhycaGTWMARg,0,1
154,Дай деняк,chip hlip,http://www.youtube.com/channel/UC93kXhuL08_k9H8fsv5Wn4w,0,1
155,Can I be in a vid,chelsea_todd,http://www.youtube.com/channel/UC_HUlfmWpQJANavLHY12-ew,0,1
156,Great vids! Wow and here I am still saving money for a gaming computer😅,Tiernan White,http://www.youtube.com/channel/UCuHNnQzoNuXJVZyhPLTUkgQ,0,0
157,ผมอย่ากได้รูบิค,เซเว่น,http://www.youtube.com/channel/UCzuZF8zXWx9Ham2RVB6Ui7A,0,1
158,türk varmı,Mehmet Korkmaz,http://www.youtube.com/channel/UCGUhoX7jDWjKXSXCEFT_auQ,0,0
159,beam here in america from australia?,Captain Shoto,http://www.youtube.com/channel/UC6hD8HKAZnfDKkRBuUsYg3A,1,1
160,Ishowspeed?,Stacy Wijnruit,http://www.youtube.com/channel/UCBs0SOAqZnyBTye6BSp27jg,0,1
161,Orang Indonesia Vidio nya wkwkwkk,Naufal6985,http://www.youtube.com/channel/UCfcSSkoKXybO__S8QFEA_uA,0,0
162,I see ishowspeed,jameela oman,http://www.youtube.com/channel/UCTCcsT5xebUJM8gWa8jS0cQ,0,1
163,Мистро бист почему ты стал вести на русском?,ебой кря😎,http://www.youtube.com/channel/UCUcfn1P7JFHkngSY-T7eJRQ,0,0
164,i just went laying down on the wing,Xolo,http://www.youtube.com/channel/UCwOmCO03S8MJ-hLCSQ_v5hg,0,1
165,登録者多いですね,赤髪のシャンクス,http://www.youtube.com/channel/UCJyh8CwjX55MQGFdCxOjZ-w,0,1
166,Mr beast is amazing,Nhi Nguyễn,http://www.youtube.com/channel/UCGqg1Mt8_NKtaGPv6eulqrg,0,1
167,I&#39;m in Thailand,สิทธิพล,http://www.youtube.com/channel/UCodgAJaFO0MBeXHBtG53ZTQ,0,0
168,No english,fushita gaming,http://www.youtube.com/channel/UCI0HsUcBysN9hovpGFG0EfQ,0,0
169,Would you please come to Turkey?,Cleader,http://www.youtube.com/channel/UCwgAjkeRCy2XkqDxYH_a0jA,0,0
170,Я,Паха,http://www.youtube.com/channel/UCCw9TFCs0LbhXo0OzX8lRzA,0,1
171,Help me 🥺,Andaaz shayari,http://www.youtube.com/channel/UC8ukZp7owl2v_NTTzjTeZwg,0,1
172,I subscribed to you mr beast just so you can beat pewdie pie. Your welcome lol :  ) 😂,code blue,http://www.youtube.com/channel/UC5wzdsGuM9l2IMJOOhTKu7g,0,1
173,I love you,mohd shadab,http://www.youtube.com/channel/UC40MlKN7XXyabKTucgtW4Cg,0,1
174,speed why,Ninjabro and Itamino,http://www.youtube.com/channel/UCyo8JoBaxDCNo0rW9lkx1Cg,0,1
175,my question is where will the winner of that private jet put the jet,İsim Memo,http://www.youtube.com/channel/UCUXxcKg_QxO7O1O2DVlVC1w,0,1
176,hoola soy de peru,HELADO STUDIOS ,http://www.youtube.com/channel/UC-2sOr8fhybwwc8EGGbXnWw,0,0
177,is very sad,Joshua Balverde,http://www.youtube.com/channel/UCnyDWtES6hscnF97AMAs7Lw,0,1
178,❤️❤️,Dark uMuTxD,http://www.youtube.com/channel/UCqGLkTSHpaRDZtRY6pfNnag,0,1
179,İlove you,Dark uMuTxD,http://www.youtube.com/channel/UCqGLkTSHpaRDZtRY6pfNnag,0,1
180,나는 이 유튜버를 존경합니다,딩노의 게임채널,http://www.youtube.com/channel/UCa4c1ksITMHfcSv0Bnde98g,0,1
181,I would love to participate😀,Anthony Novello,http://www.youtube.com/channel/UC7i3YOKrt2avppb-y_fuUug,0,1
182,no,K31thc0m ,http://www.youtube.com/channel/UC0bburnSFUjBQDPwkzxkJrw,0,0
183,Can someone give me ps5 for free please 😭😭😭😭😭😭😭😭😭,Student Abinash,http://www.youtube.com/channel/UC2I_DNPLjtOS37ZZcpTDH8A,0,1
184,Can someone give me ps5 for free please 😭😭😭😭😭😭😭😭😭,Student Abinash,http://www.youtube.com/channel/UC2I_DNPLjtOS37ZZcpTDH8A,0,1
185,Can someone give me ps5 for free please 😭😭😭😭😭😭😭😭😭,Student Abinash,http://www.youtube.com/channel/UC2I_DNPLjtOS37ZZcpTDH8A,0,1
186,Can someone give me ps5 for free please 😭😭😭😭😭😭😭😭😭,Student Abinash,http://www.youtube.com/channel/UC2I_DNPLjtOS37ZZcpTDH8A,0,1
